date,tvl,price
2021-03-11,4106565364.0,405.02
2021-03-12,4100260485.0,374.38
2021-03-13,4153708514.0,413.9
2021-03-14,4321860298.0,379.86
2021-03-15,4327637232.0,367.48
2021-03-16,4103078944.0,370.36
2021-03-17,4138737456.0,382.37
2021-03-18,4056500888.0,363.18
2021-03-19,4241512002.0,369.0
2021-03-20,4313276376.0,370.28
2021-03-21,4430637567.0,367.51
2021-03-22,4182188477.0,336.28
2021-03-23,4226739493.0,330.42
2021-03-24,4006650412.0,308.21
2021-03-25,4196862639.0,325.51
2021-03-26,3879491976.0,358.09
2021-03-27,4111389531.0,351.28
2021-03-28,4133706056.0,347.61
2021-03-29,4317927902.0,360.55
2021-03-30,4518439410.0,377.42
2021-03-31,4663603983.0,382.67
2021-04-01,4547898957.0,382.41
2021-04-02,4774333097.0,420.34
2021-04-03,4935565240.0,379.68
2021-04-04,4967929670.0,403.42
2021-04-05,4821454410.0,398.06
2021-04-06,4827825988.0,383.33
2021-04-07,4949548271.0,348.82
2021-04-08,4519705831.0,371.07
2021-04-09,4538960271.0,358.95
2021-04-10,4717451175.0,367.36
2021-04-11,4727356856.0,371.86
2021-04-12,4628524484.0,397.68
2021-04-13,4689734669.0,399.17
2021-04-14,4816806914.0,428.22
2021-04-15,5218705508.0,465.77
2021-04-16,5492370753.0,441.01
2021-04-17,5513296735.0,425.59
2021-04-18,5575860369.0,381.6
2021-04-19,4790445903.0,344.2
2021-04-20,5206519768.0,360.49
2021-04-21,5075665927.0,350.39
2021-04-22,5214888444.0,359.9
2021-04-23,5697613414.0,343.36
2021-04-24,4995596427.0,317.75
2021-04-25,4808804404.0,348.55
2021-04-26,5065727092.0,405.44
2021-04-27,6273546596.0,440.48
2021-04-28,7111641488.0,460.59
2021-04-29,7834726417.0,438.9
2021-04-30,8182559675.0,444.49
2021-05-01,8572635709.0,504.58
2021-05-02,8972705036.0,482.66
2021-05-03,9293411462.0,518.21
2021-05-04,10360893251.0,447.88
2021-05-05,10829812017.0,480.67
2021-05-06,9968541693.0,452.96
2021-05-07,11062167688.0,445.32
2021-05-08,10760024963.0,466.8
2021-05-09,10548445685.0,459.09
2021-05-10,10970606164.0,433.08
2021-05-11,11507609054.0,457.22
2021-05-12,11047318171.0,512.68
2021-05-13,12011259965.0,508.54
2021-05-14,11180238830.0,594.95
2021-05-15,11929810861.0,517.62
2021-05-16,11892144817.0,527.59
2021-05-17,12119071809.0,572.05
2021-05-18,11664502490.0,629.02
2021-05-19,12248713353.0,410.83
2021-05-20,10479514443.0,466.96
2021-05-21,10695923786.0,372.99
2021-05-22,10663735608.0,334.61
2021-05-23,9527699520.0,292.89
2021-05-24,7911926910.0,387.47
2021-05-25,9273891116.0,370.48
2021-05-26,9321677305.0,414.44
2021-05-27,10861302453.0,371.79
2021-05-28,11382448934.0,319.91
2021-05-29,10092659099.0,297.73
2021-05-30,10617279037.0,324.49
2021-05-31,11197109826.0,382.01
2021-06-01,11782508382.0,372.89
2021-06-02,12055393574.0,384.14
2021-06-03,12383789728.0,398.54
2021-06-04,12559954549.0,372.96
2021-06-05,11679451747.0,356.65
2021-06-06,11903745800.0,365.29
2021-06-07,12063475662.0,334.9
2021-06-08,12272185727.0,329.5
2021-06-09,11376439466.0,338.94
2021-06-10,11804812547.0,310.28
2021-06-11,11882146142.0,285.27
2021-06-12,11429810802.0,278.45
2021-06-13,11073633661.0,316.37
2021-06-14,11148891506.0,318.16
2021-06-15,11618640208.0,311.91
2021-06-16,11893001321.0,290.71
2021-06-17,11024184547.0,293.31
2021-06-18,10786882359.0,265.1
2021-06-19,10519600875.0,254.75
2021-06-20,10236522374.0,272.8
2021-06-21,9738547849.0,212.27
2021-06-22,9353724504.0,206.01
2021-06-23,8945701257.0,207.56
2021-06-24,9252195824.0,211.26
2021-06-25,9237283149.0,186.7
2021-06-26,8947453257.0,187.3
2021-06-27,8774633673.0,202.74
2021-06-28,8921660124.0,227.05
2021-06-29,9192688743.0,238.02
2021-06-30,9738799902.0,250.71
2021-07-01,9482380790.0,230.34
2021-07-02,9371205653.0,234.23
2021-07-03,9090125198.0,259.25
2021-07-04,9595220628.0,276.86
2021-07-05,9833983817.0,307.92
2021-07-06,9408265216.0,316.55
2021-07-07,9770863174.0,315.17
2021-07-08,9932058113.0,290.81
2021-07-09,9290572496.0,303.14
2021-07-10,9159512383.0,294.84
2021-07-11,9409581190.0,304.93
2021-07-12,9494893410.0,296.95
2021-07-13,9298982719.0,271.12
2021-07-14,8875647758.0,279.53
2021-07-15,9176808768.0,272.31
2021-07-16,9087311812.0,253.17
2021-07-17,9758720539.0,253.03
2021-07-18,9856989814.0,254.13
2021-07-19,9862609205.0,238.46
2021-07-20,9584916304.0,223.04
2021-07-21,9430573553.0,259.43
2021-07-22,10162926137.0,278.71
2021-07-23,10242335048.0,289.91
2021-07-24,10490974965.0,287.69
2021-07-25,10592395081.0,288.04
2021-07-26,10692719502.0,302.57
2021-07-27,10932469571.0,300.07
2021-07-28,11162376217.0,298.02
2021-07-29,11116172183.0,311.96
2021-07-30,11333653597.0,320.43
2021-07-31,11667373013.0,331.12
2021-08-01,11956713357.0,316.36
2021-08-02,11728856998.0,320.46
2021-08-03,11720124382.0,308.58
2021-08-04,11845211624.0,339.05
2021-08-05,12423959018.0,372.94
2021-08-06,12782548302.0,369.71
2021-08-07,12792127967.0,385.13
2021-08-08,13375539622.0,360.91
2021-08-09,12958152994.0,374.04
2021-08-10,13463015201.0,384.0
2021-08-11,13307164325.0,403.23
2021-08-12,13400222701.0,392.38
2021-08-13,13012294743.0,427.52
2021-08-14,13588360313.0,414.54
2021-08-15,13737015231.0,410.23
2021-08-16,13720659817.0,412.5
2021-08-17,13277856088.0,381.5
2021-08-18,12690405574.0,380.13
2021-08-19,12718873979.0,405.22
2021-08-20,13614196781.0,409.27
2021-08-21,14305421984.0,400.12
2021-08-22,14018082126.0,400.88
2021-08-23,13900980745.0,408.37
2021-08-24,14314237717.0,378.11
2021-08-25,13517811099.0,384.26
2021-08-26,13764029103.0,350.75
2021-08-27,13329090113.0,373.01
2021-08-28,13841562356.0,367.2
2021-08-29,13631996989.0,363.92
2021-08-30,13596008961.0,357.9
2021-08-31,13817106648.0,357.9
2021-09-01,14286048509.0,413.19
2021-09-02,15342180726.0,399.62
2021-09-03,15395818620.0,394.88
2021-09-04,15920688037.0,397.63
2021-09-05,15889850170.0,416.68
2021-09-06,16253810258.0,408.58
2021-09-07,16314484599.0,346.42
2021-09-08,14060387797.0,330.5
2021-09-09,14177575814.0,330.65
2021-09-10,14119323935.0,312.32
2021-09-11,13500145500.0,328.6801
2021-09-12,13673566513.0,333.43
2021-09-13,14056500364.0,330.989
2021-09-14,13599445470.0,384.53
2021-09-15,14238495908.0,414.71
2021-09-16,14766020179.0,383.9
2021-09-17,14451448017.0,353.73
2021-09-18,14061702018.0,355.2
2021-09-19,14147424170.0,340.0
2021-09-20,13731642034.0,291.861
2021-09-21,12216230570.0,271.76
2021-09-22,11915575402.0,301.7
2021-09-23,12857960610.0,308.961
2021-09-24,13235375967.0,280.71
2021-09-25,12651855734.0,274.348
2021-09-26,12698024998.0,293.3
2021-09-27,13000079788.0,273.4
2021-09-28,12397332241.0,260.9
2021-09-29,12049659239.0,265.2
2021-09-30,12284164241.0,276.5
2021-10-01,12729392559.0,302.4
2021-10-02,13703092241.0,314.1
2021-10-03,14165501666.0,310.5
2021-10-04,14317962877.0,301.1
2021-10-05,14781056242.0,307.6
2021-10-06,15618261085.0,311.705
2021-10-07,15910404795.0,305.695
2021-10-08,15053168695.0,307.511
2021-10-09,14919306595.0,307.01
2021-10-10,14917646598.0,287.841
2021-10-11,14670869816.0,290.6
2021-10-12,15020474418.0,283.92
2021-10-13,14848105630.0,297.351
2021-10-14,15320329571.0,303.381
2021-10-15,15966815092.0,301.5
2021-10-16,16811744093.0,304.8
2021-10-17,16796477316.0,304.4
2021-10-18,16848915691.0,294.02
2021-10-19,16557167233.0,303.451
2021-10-20,17104998623.0,316.491
2021-10-21,18970929597.0,314.511
2021-10-22,18695449573.0,309.96
2021-10-23,18251284839.0,324.091
2021-10-24,19104588271.0,307.521
2021-10-25,18938803268.0,313.289
2021-10-26,19442451180.0,329.219
2021-10-27,19134021951.0,324.699
2021-10-28,18471085068.0,339.1
2021-10-29,19282587246.0,328.18
2021-10-30,15166238932.0,319.111
2021-10-31,13506029922.0,313.941
2021-11-01,13504038458.0,324.279
2021-11-02,13738200516.0,324.7
2021-11-03,15257664507.0,325.05
2021-11-04,15422641625.0,332.8
2021-11-05,15501276625.0,326.5
2021-11-06,15495705850.0,318.1
2021-11-07,15633769388.0,319.8
2021-11-08,16029383790.0,332.03
2021-11-09,16662453038.0,336.5
2021-11-10,16460810177.0,312.62
2021-11-11,16162934546.0,312.0
2021-11-12,16417887432.0,308.14
2021-11-13,16323819927.0,312.52
2021-11-14,16448644205.0,315.01
2021-11-15,16434667264.0,301.5
2021-11-16,16227707874.0,278.34
2021-11-17,15418303530.0,284.51
2021-11-18,15683434499.0,262.64
2021-11-19,14708965517.0,279.0
